Airport_CODE,name_Airport,country_code_Airport,Airport_rwy_len_ft,Airport_rwy_wid_ft,Airport_latitude,Airport_longitude,Airport_elevation_ft,Airport_offset_hours,Airport_type
MMPR,Puerto Vallarta,MX,10171,148,20.6407176,-105.220306,23,-6,large_airport
LFMT,Montpellier,FR,8530,164,43.6112422,3.8767337,17,2,medium_airport
UACC,Astana,KZ,11484,148,51.1282205,71.4306682,1165,6,large_airport
LIPQ,Trieste,IT,9843,148,45.6496485,13.7772781,39,2,medium_airport
MUVR,Varadero,CU,11490,148,23.149578,-81.260025,210,-4,large_airport
DTTJ,Djerba,TN,10171,148,36.8119071,4.9779426,19,1,medium_airport
LFBZ,Biarritz/Bayonne,FR,7382,148,43.47114375,-1.55272659,245,2,medium_airport
GMFO,Oujda,MA,9843,148,34.677874,-1.929306,1535,1,medium_airport
DTNH,Enfidha,TN,10827,197,36.09427745,10.41503682,21,1,medium_airport
LFMP,Perpignan,FR,8202,148,42.6985304,2.8953121,144,2,medium_airport
LTBY,Eskisehir Anadolu,TR,8261,98,39.7743941,30.519116,2588,3,medium_airport
UAAA,Almaty,KZ,14764,148,43.2363924,76.9457275,2234,6,large_airport
LTCM,Sinop,TR,6482,148,41.6476377,34.9560137,20,3,medium_airport
LGPZ,Preveza,GR,9419,148,38.9571673,20.7516209,11,3,medium_airport
LIEE,Cagliari,IT,9196,148,39.2171994,9.113311,13,2,large_airport
UWKD,Kazan,RU,12303,148,55.7823547,49.1242266,411,3,large_airport
UTSS,Samarkand,UZ,10170,161,39.6550017,66.9756954,2224,5,medium_airport
OPLA,Lahore,PK,11024,151,31.5656822,74.3141829,712,5,large_airport
OEJN,Jeddah,SA,13123,197,21.5810088,39.1653612,48,3,large_airport
EDNY,Friedrichshafen,DE,7729,148,47.6500279,9.4800858,1367,2,medium_airport
DABC,Constantine,DZ,9843,148,36.3641642,6.6084281,2265,1,medium_airport
ORMM,Basrah,IQ,13124,148,51.8650996,-2.1155357,11,1,medium_airport
LEVX,Vigo,ES,7874,148,42.2376602,-8.7247205,856,2,medium_airport
LTCN,Kahramanmaras,TR,7546,98,37.5812744,36.927509,1723,3,medium_airport
LICB,Comiso,IT,8070,148,36.9507336,14.6074553,623,2,medium_airport
EGGP,Liverpool,GB,7497,150,53.4071991,-2.99168,80,1,medium_airport
ULLI,Saint Petersburg,RU,12402,197,59.9606739,30.1586551,78,3,large_airport
LFRG,Deauville,FR,8366,148,49.36,0.0752778,479,2,medium_airport
LPLA,Lajes,PT,10870,197,-27.8165664,-50.325883,180,-3,medium_airport
LKMT,Ostrava,CZ,11484,207,49.8349139,18.2820084,844,2,medium_airport
LGRX,Araxos,GR,10999,148,38.1652451,21.4086813,46,3,medium_airport
LRCL,Cluj,RO,6693,148,46.769379,23.5899542,1036,3,medium_airport
HHAS,Asmara,ER,9842,148,15.3389667,38.9326763,7661,3,medium_airport
LFOK,Chalons Vatry,FR,12664,148,48.82188,4.2449,587,2,medium_airport
GMMN,Casablanca,MA,12205,148,33.5945144,-7.6200284,656,1,large_airport
VOGO,Goa,IN,11240,148,15.3004543,74.0855134,186,5.5,medium_airport
